DATE,DTB3
2020-01-02,1.51
2020-01-03,1.49
2020-01-06,1.53
2020-01-07,1.51
2020-01-08,1.51
2020-01-09,1.51
2020-01-10,1.51
2020-01-13,1.54
2020-01-14,1.54
2020-01-15,1.54
2020-01-16,1.52
2020-01-17,1.53
2020-01-20,.
2020-01-21,1.53
2020-01-22,1.52
2020-01-23,1.52
2020-01-24,1.51
2020-01-27,1.52
2020-01-28,1.54
2020-01-29,1.53
2020-01-30,1.54
2020-01-31,1.52
2020-02-03,1.54
2020-02-04,1.54
2020-02-05,1.54
2020-02-06,1.54
2020-02-07,1.53
2020-02-10,1.55
2020-02-11,1.54
2020-02-12,1.55
2020-02-13,1.56
2020-02-14,1.55
2020-02-17,.
2020-02-18,1.55
2020-02-19,1.55
2020-02-20,1.55
2020-02-21,1.53
2020-02-24,1.50
2020-02-25,1.50
2020-02-26,1.50
2020-02-27,1.42
2020-02-28,1.25
2020-03-02,1.10
2020-03-03,0.93
2020-03-04,0.71
2020-03-05,0.61
2020-03-06,0.45
2020-03-09,0.32
2020-03-10,0.43
2020-03-11,0.41
2020-03-12,0.33
2020-03-13,0.27
2020-03-16,0.24
2020-03-17,0.19
2020-03-18,0.02
2020-03-19,0.04
2020-03-20,0.05
2020-03-23,0.02
2020-03-24,0.01
2020-03-25,-0.04
2020-03-26,-0.05
2020-03-27,0.03
2020-03-30,0.12
2020-03-31,0.11
2020-04-01,0.09
2020-04-02,0.09
2020-04-03,0.10
2020-04-06,0.15
2020-04-07,0.14
2020-04-08,0.22
2020-04-09,0.25
2020-04-10,.
2020-04-13,0.26
2020-04-14,0.20
2020-04-15,0.14
2020-04-16,0.14
2020-04-17,0.12
2020-04-20,0.12
2020-04-21,0.11
2020-04-22,0.12
2020-04-23,0.11
2020-04-24,0.12
2020-04-27,0.12
2020-04-28,0.11
2020-04-29,0.10
2020-04-30,0.09
2020-05-01,0.12
2020-05-04,0.13
2020-05-05,0.13
2020-05-06,0.12
2020-05-07,0.11
2020-05-08,0.12
2020-05-11,0.12
2020-05-12,0.13
2020-05-13,0.13
2020-05-14,0.12
2020-05-15,0.12
2020-05-18,0.13
2020-05-19,0.13
2020-05-20,0.12
2020-05-21,0.12
2020-05-22,0.12
2020-05-25,.
2020-05-26,0.14
2020-05-27,0.15
2020-05-28,0.15
2020-05-29,0.14
2020-06-01,0.14
2020-06-02,0.15
2020-06-03,0.16
2020-06-04,0.15
2020-06-05,0.15
2020-06-08,0.17
2020-06-09,0.19
2020-06-10,0.17
2020-06-11,0.17
2020-06-12,0.16
2020-06-15,0.18
2020-06-16,0.17
2020-06-17,0.17
2020-06-18,0.16
2020-06-19,0.15
2020-06-22,0.16
2020-06-23,0.16
2020-06-24,0.15
2020-06-25,0.16
2020-06-26,0.14
2020-06-29,0.14
2020-06-30,0.16
2020-07-01,0.14
2020-07-02,0.14
2020-07-03,.
2020-07-06,0.15
2020-07-07,0.15
2020-07-08,0.15
2020-07-09,0.13
2020-07-10,0.13
2020-07-13,0.14
2020-07-14,0.15
2020-07-15,0.16
2020-07-16,0.11
2020-07-17,0.11
2020-07-20,0.13
2020-07-21,0.13
2020-07-22,0.13
2020-07-23,0.12
2020-07-24,0.11
2020-07-27,0.11
2020-07-28,0.11
2020-07-29,0.11
2020-07-30,0.09
2020-07-31,0.09
2020-08-03,0.10
2020-08-04,0.09
2020-08-05,0.10
2020-08-06,0.10
2020-08-07,0.10
2020-08-10,0.11
2020-08-11,0.11
2020-08-12,0.11
2020-08-13,0.10
2020-08-14,0.10
2020-08-17,0.10
2020-08-18,0.09
2020-08-19,0.11
2020-08-20,0.11
2020-08-21,0.10
2020-08-24,0.12
2020-08-25,0.11
2020-08-26,0.11
2020-08-27,0.11
2020-08-28,0.10
2020-08-31,0.11
2020-09-01,0.12
2020-09-02,0.12
2020-09-03,0.11
2020-09-04,0.11
2020-09-07,.
2020-09-08,0.13
2020-09-09,0.12
2020-09-10,0.12
2020-09-11,0.11
2020-09-14,0.11
2020-09-15,0.11
2020-09-16,0.12
2020-09-17,0.09
2020-09-18,0.10
2020-09-21,0.10
2020-09-22,0.10
2020-09-23,0.11
2020-09-24,0.10
2020-09-25,0.10
2020-09-28,0.11
2020-09-29,0.09
2020-09-30,0.10
2020-10-01,0.09
2020-10-02,0.09
2020-10-05,0.10
2020-10-06,0.10
2020-10-07,0.10
2020-10-08,0.09
2020-10-09,0.10
2020-10-12,.
2020-10-13,0.11
2020-10-14,0.12
2020-10-15,0.11
2020-10-16,0.11
2020-10-19,0.11
2020-10-20,0.10
2020-10-21,0.10
2020-10-22,0.09
2020-10-23,0.10
2020-10-26,0.11
2020-10-27,0.10
2020-10-28,0.10
2020-10-29,0.09
2020-10-30,0.09
2020-11-02,0.09
2020-11-03,0.10
2020-11-04,0.10
2020-11-05,0.10
2020-11-06,0.10
2020-11-09,0.11
2020-11-10,0.10
2020-11-11,.
2020-11-12,0.10
2020-11-13,0.09
2020-11-16,0.09
2020-11-17,0.09
2020-11-18,0.09
2020-11-19,0.07
2020-11-20,0.07
2020-11-23,0.08
2020-11-24,0.09
2020-11-25,0.09
2020-11-26,.
2020-11-27,0.09
2020-11-30,0.08
2020-12-01,0.09
2020-12-02,0.09
2020-12-03,0.08
2020-12-04,0.09
2020-12-07,0.08
2020-12-08,0.09
2020-12-09,0.08
2020-12-10,0.08
2020-12-11,0.08
2020-12-14,0.09
2020-12-15,0.08
2020-12-16,0.09
2020-12-17,0.08
2020-12-18,0.08
2020-12-21,0.09
2020-12-22,0.09
2020-12-23,0.09
2020-12-24,0.09
2020-12-25,.
2020-12-28,0.11
2020-12-29,0.10
2020-12-30,0.08
2020-12-31,0.09
2021-01-01,.
2021-01-04,0.09
2021-01-05,0.09
2021-01-06,0.09
2021-01-07,0.09
2021-01-08,0.08
2021-01-11,0.08
2021-01-12,0.09
2021-01-13,0.09
2021-01-14,0.09
2021-01-15,0.09
2021-01-18,.
2021-01-19,0.09
2021-01-20,0.08
2021-01-21,0.09
2021-01-22,0.08
2021-01-25,0.09
2021-01-26,0.07
2021-01-27,0.08
2021-01-28,0.07
2021-01-29,0.06
2021-02-01,0.07
2021-02-02,0.07
2021-02-03,0.04
2021-02-04,0.04
2021-02-05,0.03
2021-02-08,0.05
2021-02-09,0.04
2021-02-10,0.05
2021-02-11,0.05
2021-02-12,0.04
2021-02-15,.
2021-02-16,0.04
2021-02-17,0.04
2021-02-18,0.03
2021-02-19,0.04
2021-02-22,0.03
2021-02-23,0.04
2021-02-24,0.03
2021-02-25,0.04
2021-02-26,0.04
2021-03-01,0.05
2021-03-02,0.04
2021-03-03,0.05
2021-03-04,0.04
2021-03-05,0.04
2021-03-08,0.05
2021-03-09,0.05
2021-03-10,0.04
2021-03-11,0.04
2021-03-12,0.04
2021-03-15,0.04
2021-03-16,0.02
2021-03-17,0.02
2021-03-18,0.01
2021-03-19,0.01
2021-03-22,0.03
2021-03-23,0.01
2021-03-24,0.02
2021-03-25,0.02
2021-03-26,0.02
2021-03-29,0.03
2021-03-30,0.02
2021-03-31,0.03
2021-04-01,0.02
2021-04-02,0.02
2021-04-05,0.03
2021-04-06,0.02
2021-04-07,0.02
2021-04-08,0.01
2021-04-09,0.02
2021-04-12,0.02
2021-04-13,0.03
2021-04-14,0.02
2021-04-15,0.02
2021-04-16,0.02
2021-04-19,0.02
2021-04-20,0.03
2021-04-21,0.03
2021-04-22,0.03
2021-04-23,0.03
2021-04-26,0.03
2021-04-27,0.01
2021-04-28,0.01
2021-04-29,0.01
2021-04-30,0.01
2021-05-03,0.04
2021-05-04,0.02
2021-05-05,0.02
2021-05-06,0.02
2021-05-07,0.02
2021-05-10,0.02
2021-05-11,0.01
2021-05-12,0.02
2021-05-13,0.02
2021-05-14,0.01
2021-05-17,0.02
2021-05-18,0.02
2021-05-19,0.01
2021-05-20,0.01
2021-05-21,0.01
2021-05-24,0.02
2021-05-25,0.02
2021-05-26,0.02
2021-05-27,0.02
2021-05-28,0.01
2021-05-31,.
2021-06-01,0.02
2021-06-02,0.02
2021-06-03,0.02
2021-06-04,0.02
2021-06-07,0.02
2021-06-08,0.02
2021-06-09,0.03
2021-06-10,0.03
2021-06-11,0.03
2021-06-14,0.03
2021-06-15,0.03
2021-06-16,0.04
2021-06-17,0.04
2021-06-18,0.05
2021-06-21,0.05
2021-06-22,0.04
2021-06-23,0.05
2021-06-24,0.05
2021-06-25,0.06
2021-06-28,0.05
2021-06-29,0.04
2021-06-30,0.05
2021-07-01,0.05
2021-07-02,0.05
2021-07-05,.
2021-07-06,0.05
2021-07-07,0.05
2021-07-08,0.06
2021-07-09,0.06
2021-07-12,0.05
2021-07-13,0.05
2021-07-14,0.06
2021-07-15,0.05
2021-07-16,0.05
2021-07-19,0.05
2021-07-20,0.05
2021-07-21,0.05
2021-07-22,0.05
2021-07-23,0.05
2021-07-26,0.05
2021-07-27,0.05
2021-07-28,0.05
2021-07-29,0.06
2021-07-30,0.06
2021-08-02,0.05
2021-08-03,0.05
2021-08-04,0.05
2021-08-05,0.05
2021-08-06,0.06
2021-08-09,0.06
2021-08-10,0.05
2021-08-11,0.05
2021-08-12,0.06
2021-08-13,0.06
2021-08-16,0.06
2021-08-17,0.07
2021-08-18,0.07
2021-08-19,0.06
2021-08-20,0.05
2021-08-23,0.05
2021-08-24,0.05
2021-08-25,0.06
2021-08-26,0.05
2021-08-27,0.05
2021-08-30,0.05
2021-08-31,0.04
2021-09-01,0.05
2021-09-02,0.05
2021-09-03,0.05
2021-09-06,.
2021-09-07,0.05
2021-09-08,0.05
2021-09-09,0.04
2021-09-10,0.05
2021-09-13,0.06
2021-09-14,0.04
2021-09-15,0.04
2021-09-16,0.04
2021-09-17,0.04
2021-09-20,0.04
2021-09-21,0.03
2021-09-22,0.03
2021-09-23,0.03
2021-09-24,0.03
2021-09-27,0.04
2021-09-28,0.04
2021-09-29,0.04
2021-09-30,0.04
2021-10-01,0.04
2021-10-04,0.04
2021-10-05,0.04
2021-10-06,0.04
2021-10-07,0.05
2021-10-08,0.05
2021-10-11,.
2021-10-12,0.06
2021-10-13,0.05
2021-10-14,0.05
2021-10-15,0.05
2021-10-18,0.06
2021-10-19,0.05
2021-10-20,0.05
2021-10-21,0.06
2021-10-22,0.06
2021-10-25,0.06
2021-10-26,0.06
2021-10-27,0.06
2021-10-28,0.06
2021-10-29,0.05
2021-11-01,0.05
2021-11-02,0.05
2021-11-03,0.05
2021-11-04,0.04
2021-11-05,0.05
2021-11-08,0.06
2021-11-09,0.04
2021-11-10,0.05
2021-11-11,.
2021-11-12,0.05
2021-11-15,0.05
2021-11-16,0.05
2021-11-17,0.05
2021-11-18,0.05
2021-11-19,0.05
2021-11-22,0.05
2021-11-23,0.06
2021-11-24,0.06
2021-11-25,.
2021-11-26,0.06
2021-11-29,0.06
2021-11-30,0.05
2021-12-01,0.06
2021-12-02,0.05
2021-12-03,0.06
2021-12-06,0.06
2021-12-07,0.06
2021-12-08,0.07
2021-12-09,0.06
2021-12-10,0.06
2021-12-13,0.05
2021-12-14,0.05
2021-12-15,0.06
2021-12-16,0.05
2021-12-17,0.05
2021-12-20,0.07
2021-12-21,0.07
2021-12-22,0.08
2021-12-23,0.08
2021-12-24,.
2021-12-27,0.06
2021-12-28,0.06
2021-12-29,0.05
2021-12-30,0.05
2021-12-31,0.06
