DATE,DTB6
2020-01-02,1.53
2020-01-03,1.51
2020-01-06,1.52
2020-01-07,1.52
2020-01-08,1.52
2020-01-09,1.52
2020-01-10,1.51
2020-01-13,1.53
2020-01-14,1.53
2020-01-15,1.54
2020-01-16,1.52
2020-01-17,1.53
2020-01-20,.
2020-01-21,1.53
2020-01-22,1.52
2020-01-23,1.52
2020-01-24,1.51
2020-01-27,1.53
2020-01-28,1.54
2020-01-29,1.53
2020-01-30,1.53
2020-01-31,1.50
2020-02-03,1.52
2020-02-04,1.53
2020-02-05,1.53
2020-02-06,1.54
2020-02-07,1.53
2020-02-10,1.54
2020-02-11,1.51
2020-02-12,1.52
2020-02-13,1.52
2020-02-14,1.52
2020-02-17,.
2020-02-18,1.52
2020-02-19,1.52
2020-02-20,1.51
2020-02-21,1.49
2020-02-24,1.45
2020-02-25,1.43
2020-02-26,1.39
2020-02-27,1.30
2020-02-28,1.09
2020-03-02,0.93
2020-03-03,0.82
2020-03-04,0.67
2020-03-05,0.52
2020-03-06,0.40
2020-03-09,0.27
2020-03-10,0.42
2020-03-11,0.39
2020-03-12,0.36
2020-03-13,0.37
2020-03-16,0.29
2020-03-17,0.24
2020-03-18,0.08
2020-03-19,0.06
2020-03-20,0.05
2020-03-23,0.08
2020-03-24,0.09
2020-03-25,0.07
2020-03-26,0.04
2020-03-27,0.02
2020-03-30,0.12
2020-03-31,0.15
2020-04-01,0.14
2020-04-02,0.15
2020-04-03,0.15
2020-04-06,0.17
2020-04-07,0.20
2020-04-08,0.24
2020-04-09,0.24
2020-04-10,.
2020-04-13,0.27
2020-04-14,0.24
2020-04-15,0.19
2020-04-16,0.18
2020-04-17,0.16
2020-04-20,0.15
2020-04-21,0.14
2020-04-22,0.14
2020-04-23,0.14
2020-04-24,0.14
2020-04-27,0.15
2020-04-28,0.13
2020-04-29,0.12
2020-04-30,0.11
2020-05-01,0.12
2020-05-04,0.14
2020-05-05,0.15
2020-05-06,0.16
2020-05-07,0.14
2020-05-08,0.15
2020-05-11,0.16
2020-05-12,0.16
2020-05-13,0.15
2020-05-14,0.15
2020-05-15,0.15
2020-05-18,0.15
2020-05-19,0.15
2020-05-20,0.14
2020-05-21,0.14
2020-05-22,0.16
2020-05-25,.
2020-05-26,0.17
2020-05-27,0.17
2020-05-28,0.18
2020-05-29,0.18
2020-06-01,0.18
2020-06-02,0.18
2020-06-03,0.19
2020-06-04,0.18
2020-06-05,0.18
2020-06-08,0.19
2020-06-09,0.19
2020-06-10,0.19
2020-06-11,0.18
2020-06-12,0.18
2020-06-15,0.19
2020-06-16,0.19
2020-06-17,0.18
2020-06-18,0.17
2020-06-19,0.17
2020-06-22,0.18
2020-06-23,0.17
2020-06-24,0.17
2020-06-25,0.17
2020-06-26,0.17
2020-06-29,0.18
2020-06-30,0.18
2020-07-01,0.17
2020-07-02,0.16
2020-07-03,.
2020-07-06,0.16
2020-07-07,0.17
2020-07-08,0.17
2020-07-09,0.16
2020-07-10,0.15
2020-07-13,0.15
2020-07-14,0.14
2020-07-15,0.15
2020-07-16,0.13
2020-07-17,0.13
2020-07-20,0.14
2020-07-21,0.13
2020-07-22,0.14
2020-07-23,0.13
2020-07-24,0.14
2020-07-27,0.14
2020-07-28,0.12
2020-07-29,0.12
2020-07-30,0.11
2020-07-31,0.10
2020-08-03,0.11
2020-08-04,0.11
2020-08-05,0.12
2020-08-06,0.11
2020-08-07,0.12
2020-08-10,0.13
2020-08-11,0.12
2020-08-12,0.12
2020-08-13,0.12
2020-08-14,0.12
2020-08-17,0.12
2020-08-18,0.13
2020-08-19,0.12
2020-08-20,0.13
2020-08-21,0.12
2020-08-24,0.12
2020-08-25,0.12
